date,directionCode,r_11,r_12,r_13,r_14,r_1e,r_21,r_22,r_23,r_24,r_2e,r_31,r_32,r_33,r_34,r_3e,r_41,r_42,r_43,r_44,r_4e,totalActivitiesRefcircle,totalCustomersRefcircle,dayname,weekend,transactCount,totalRevenue,Seats,Parking_slots,type_dtsf,mtype,isholiday,region,deltaRevenue
26/01/2019,3,0.847524752,0.13372093,0.170731707,0.143939394,0.005940594,0.081395349,0.860248447,0.022727273,0.142857143,0.086956522,0.146341463,0.079545455,0.833333333,0.1328125,0.003787879,0.098484848,0.285714286,0.0546875,0.905629139,0.001655629,3472,1583,Sat,yes,99,59330,151,0,SF,Hyper,no,8,1.608369238
13/05/2019,3,0.854497354,0.180929095,0.290322581,0.229965157,0.001322751,0.127139364,0.747767857,0.238095238,0.25,0.013392857,0.161290323,0.095238095,0.739285714,0.161904762,0.003571429,0.135888502,0.21875,0.142857143,0.822580645,0,5121,2652,Mon,no,46,21410,151,0,SF,Hyper,no,8,35.82364825
18/02/2020,4,0.798561151,0.109289617,0.32,0.302325581,0,0.043715847,0.881944444,0.152941176,0.058823529,0,0.24,0.117647059,0.785123967,0.264150943,0.004132231,0.325581395,0.294117647,0.188679245,0.885856079,0.069478908,2887,1249,Tue,no,84,51690,188,217,DT,Urban,no,1,43.56696933
19/01/2020,4,0.834437086,0.118644068,0.28,0.1,0.003311258,0.059322034,0.916967509,0.096256684,0.1,0.001805054,0.2,0.042780749,0.799295775,0.142857143,0.014084507,0.064285714,0.08,0.12605042,0.891348089,0.060362173,4341,1531,Sun,yes,100,91910,188,217,DT,Urban,no,1,-5.314530637
3/11/2019,3,0.732510288,0.101886792,0.138888889,0.216216216,0.016460905,0.086792453,0.900343643,0.127659574,0.117647059,0.04467354,0.277777778,0.212765957,0.794573643,0.169230769,0.003875969,0.162162162,0.235294118,0.107692308,0.882513661,0,3256,1338,Sun,yes,99,71110,162,0,SF,Urban,yes,1,1.476992047
23/11/2019,1,0.805385557,0.136919315,0.134920635,0.083544304,0.034271726,0.144254279,0.836644592,0.073375262,0.066037736,0.003311258,0.111111111,0.071278826,0.806656101,0.103244838,0,0.081012658,0.132075472,0.12979351,0.698296837,0.01216545,6616,2475,Sat,yes,94,104580,100,13,DT,Urban,yes,1,3.690170845
4/04/2019,2,0.818181818,0.22007722,0.153846154,0.192468619,0.001893939,0.22007722,0.823529412,0.169154229,0.197674419,0.01894317,0.208791209,0.174129353,0.744897959,0.155172414,0.012755102,0.19665272,0.197674419,0.163793103,0.844500632,0,5469,2937,Thu,no,60,25560,105,0,SF,Hyper,no,8,-8.983362441
4/02/2020,,0.801652893,0.139130435,0.057142857,0.1,0.012396694,0.139130435,0.861313869,0.084745763,0.128205128,0,0.042857143,0.144067797,0.726027397,0.118644068,0,0.1375,0.076923077,0.06779661,0.829787234,0.079787234,2099,896,Tue,no,56,47500,80,600,DT,Rural,no,7,-1.976902333
25/01/2020,4,0.726872247,0.138655462,0.131313131,0.107981221,0,0.084033613,0.862222222,0.116438356,0.08056872,0,0.151515152,0.150684932,0.6875,0.092307692,0.011574074,0.061032864,0.047393365,0.070769231,0.828220859,0.033742331,6817,2270,Sat,yes,100,92400,94,17,DT,Urban,no,1,0.422599552
23/02/2020,4,0.73853211,0.176190476,0.234042553,0.111111111,0,0.119047619,0.877697842,0.105590062,0.147058824,0,0.106382979,0.099378882,0.738636364,0.088483146,0.013636364,0.054373522,0.049019608,0.049157303,0.852216749,0.032512315,7263,2346,Sun,yes,103,103520,94,17,DT,Urban,yes,1,7.558399593
27/09/2019,3,0.655737705,0.1875,0.076923077,0.166666667,0,0.125,0.773109244,0.11409396,0.185185185,0.033613445,0.153846154,0.174496644,0.822410148,0.111111111,0.012684989,0.166666667,0.148148148,0.093093093,0.824766355,0,2834,1080,Fri,no,35,34020,64,80,DT,Suburban,no,2,-66.270559
9/01/2020,2,0.941304348,0.111111111,0.243243243,0.625,0.002173913,0.244444444,0.697674419,0.145833333,0.666666667,0.011627907,0.162162162,0.145833333,0.868020305,0.111111111,0.060913706,0.25,0.333333333,0.222222222,0.739130435,0,1811,740,Thu,no,43,29450,106,15,DT,Urban,no,1,10.22852984
14/12/2019,2,0.944927536,0.066666667,0.230769231,0.048192771,0.001449275,0.08,0.738461538,0.133928571,0.333333333,0.007692308,0.096153846,0.0625,0.844512195,0.119047619,0.070121951,0.144578313,0.333333333,0.107142857,0.705882353,0.009803922,3282,1172,Sat,yes,92,96100,106,15,DT,Urban,no,1,-10.27358262
25/07/2019,1,0.628272251,0.069111425,0.130319149,0.130434783,0.070680628,0.087447109,0.568228106,0.111956522,0.092592593,0.014256619,0.130319149,0.114130435,0.69047619,0.170212766,0.011904762,0.25,0.138888889,0.14893617,0.38961039,0,3703,1290,Thu,no,65,73050,92,30,DT,Rural,no,2,29.86235754
15/09/2019,1,0.755555556,0.071868583,0.066390041,0.1,0.085714286,0.0862423,0.729792148,0.103250478,0,0.018475751,0.066390041,0.087954111,0.748618785,0.2,0.011049724,0.3,0.105263158,0.2,0.666666667,0.055555556,3050,978,Sun,yes,69,74900,92,30,DT,Rural,no,2,-8.651624282
2/08/2019,4,0.690909091,0.192307692,0.5,0.19047619,0.072727273,0.153846154,0.923747277,0.08,0.227272727,0.006535948,0.5,0.14,0.819548872,0.375,0,0.071428571,0.272727273,0.125,0.857988166,0.100591716,1729,765,Fri,no,69,63560,53,15,DT,Urban,no,1,6.368369985
31/01/2020,4,0.716981132,0.184210526,0.035714286,0.233333333,0.009433962,0.289473684,0.870503597,0.1125,0.235294118,0,0.071428571,0.1375,0.896946565,0.105263158,0,0.233333333,0.117647059,0.087719298,0.90513834,0.086956522,1944,838,Fri,no,66,56040,52,36,DT,Suburban,no,9,-10.44275763
